ASOCIACION,ACTIVIDAD,SUBVENCION EN EUROS,JUSTIFICACION REQUERIDA,JUSTIFIACACION RECIBIDA
AMPA ANTONIO MACHADO,PARTICIPACION MUSICAL CINDERELLA,396.35,SI,NO
AMPA ANTONIO MACHADO,TALLER DIA DEL PADRE,40.33,NO,NO
AMPA ANTONIO MACHADO,TALLER DIA DE LA MADRE,53.2,NO,NO
AMPA ANTONIO MACHADO,FIESTA FIN DE CURSO,1010,SI,NO
AMPA ANTONIO MACHADO,FAPA ALCOBENDAS,80,NO,NO
AMPA ANTONIO MACHADO,FAPA GINER DE LOS RIOS,173.5,NO,NO
AMPA ANTONIO MACHADO,HALLOWEEN,183.2,NO,NO
AMPA ANTONIO MACHADO,SAN ISIDRO,180,NO,NO
AMPA ANTONIO MACHADO,FIESTA DE NAVIDAD,540,SI,NO
AMPA BACHILLER ALONSO LOPEZ,CIENCIAS MANIPULATIVAS,487,SI,NO
AMPA BACHILLER ALONSO LOPEZ,BILINGUISMO,400,SI,NO
AMPA BACHILLER ALONSO LOPEZ,EXCURSIONES PRIMARIA,237,NO,NO
AMPA BACHILLER ALONSO LOPEZ,FIESTA FIN DE CURSO,616,SI,NO
AMPA BACHILLER ALONSO LOPEZ,REVISTA COLEGIO ENTRETIZAS,200,NO,NO
AMPA BACHILLER ALONSO LOPEZ,CELEBRACION 10 ANIVERSARIO AMPA,360,SI,NO
AMPA CASTILLA,CONCURSO TARJETAS NAVIDEÑAS,100,NO,NO
AMPA CASTILLA,TALLER SOBRE EL ACOSO ESCOLAR,136,NO,NO
AMPA CASTILLA,FIESTA FIN DE CURSO,768,SI,NO
AMPA CASTILLA,JORNADA INTERCULTURAL,356,SI,NO
AMPA CASTILLA,"PROPUESTA DE ACTIV EXTRAESCOLARES, INSCRIPCIONES, INTERCAMBIO LIBROS",128,NO,NO
AMPA CASTILLA,FEDERACION,64,NO,NO
AMPA CASTILLA,FIESTA REYES MAGOS,392,SI,NO
AMPA CASTILLA,CHOCOLATADA,336,SI,NO
AMPA CASTILLA,SAN ISIDRO,192,NO,NO
AMPA CASTILLA,HALLOWEEN,136,NO,NO
AMPA CASTILLA,CARNAVAL EN LA AULAS,72.48,NO,NO
AMPA DAOIZ Y VELARDE,PLAN LECTOR,240,NO,NO
AMPA DAOIZ Y VELARDE,CONCIERTO MUSICA DIVERTIDA,640,SI,NO
AMPA DAOIZ Y VELARDE,FIESTA FIN DE CURSO,760,SI,NO
AMPA DAOIZ Y VELARDE,GRADUACIONES INFANTIL Y SEXTO,240,NO,NO
AMPA DAOIZ Y VELARDE,AGENDAS,348,SI,NO
AMPA DAOIZ Y VELARDE,EXPOSICION FOTOGRAFICA,198.4,NO,NO
AMPA DAOIZ Y VELARDE,NAVIDAD,605.62,SI,NO
AMPA EMILIO CASADO,DIA DE LA MUSICA,241.8,NO,NO
AMPA EMILIO CASADO,SALIDA CULTURAL AL TEATRO,160,NO,NO
AMPA EMILIO CASADO,FIESTA FIN DE CURSO,800,SI,NO
AMPA EMILIO CASADO,GRADUACION  CICLO INFANTIL,280,NO,NO
AMPA EMILIO CASADO,ASOCIACION FAPA GINER DE LOS RIOS,152,NO,NO
AMPA EMILIO CASADO,ASOCIACION FAPA ALCOBENDAS,64,NO,NO
AMPA EMILIO CASADO,FIESTA NAVIDAD,688,SI,NO
AMPA EMILIO CASADO,NAVIDAD EN LAS AULAS,470.45,SI,NO
AMPA FEDERICO GARCIA LORCA,CURSO TECNICAS DE ESTUDIO,1747.6,SI,NO
AMPA FEDERICO GARCIA LORCA,GRADUACIONES ORLA 3º INF Y 6º PRIM,405,SI,NO
AMPA FEDERICO GARCIA LORCA,REVISTA PERICOLE,396.05,SI,NO
AMPA GABRIEL Y GALAN,EXCURSIONES,1674.65,SI,NO
AMPA GABRIEL Y GALAN,FIESTA FIN DE CURSO,400,SI,NO
AMPA GABRIEL Y GALAN,"PERIODICO ""EL REMOLINO""",160,NO,NO
AMPA GABRIEL Y GALAN,CARNAVAL,314,SI,NO
AMPA LUIS BUÑUEL,CONCURSO FELICITACIONES DE NAVIDAD,91.74,NO,NO
AMPA LUIS BUÑUEL,MERCADILLO NAVIDEÑO,90,NO,NO
AMPA LUIS BUÑUEL,EXCURSIONES SOCIOS,400,SI,NO
AMPA LUIS BUÑUEL,GRADUACION,350,SI,NO
AMPA LUIS BUÑUEL,FIESTA FIN DE CURSO,250,NO,NO
AMPA LUIS BUÑUEL,PARTICIPACION FAPA ALCOBENDAS Y FAPA GINER DE LOS RIOS,227,NO,NO
AMPA LUIS BUÑUEL,AGENDA ESCOLAR,243,NO,NO
AMPA LUIS BUÑUEL,MOCHILAS DE BIENVENIDA,50,NO,NO
AMPA LUIS BUÑUEL,FIESTA NAVIDAD,598,SI,NO
AMPA LUIS BUÑUEL,SAN ISIDRO,171,NO,NO
AMPA LUIS BUÑUEL,FIESTA DE HALLOWEEN,90,NO,NO
AMPA LUIS BUÑUEL,CASTAÑADA,90,NO,NO
AMPA LUIS BUÑUEL,EVENTOS DEPORTIVOS,117.62,NO,NO
AMPA MIGUEL HERNANDEZ,CERTAMEN LITERARIO Y DE DIBUJO,281.71,NO,NO
AMPA MIGUEL HERNANDEZ,SEMANA CULTURAL,260,NO,NO
AMPA MIGUEL HERNANDEZ,EXCURSION MUSEO FERROCARRIL,160,NO,NO
AMPA MIGUEL HERNANDEZ,EXCURSION CERCANIAS RENFE,380,SI,NO
AMPA MIGUEL HERNANDEZ,CONCURSO DE TARJETAS NAVIDEÑAS,126.71,NO,NO
AMPA MIGUEL HERNANDEZ,FESTIVAL FIN CURSO,229,NO,NO
AMPA MIGUEL HERNANDEZ,ENTREGA DE ORLAS 3º INFANTIL,229,NO,NO
AMPA MIGUEL HERNANDEZ,GRADUACION Y ENTREGA ORLAS 6º PRIMARIA,94,NO,NO
AMPA MIGUEL HERNANDEZ,PARTICIPACION EN FEDERACIONES,64,NO,NO
AMPA MIGUEL HERNANDEZ,VISITA REYES MAGOS,520,SI,NO
AMPA MIGUEL HERNANDEZ,FIESTA NAVIDAD,380,SI,NO
AMPA MIRAFLORES,SALIDA CULTURAL RIO DURATON,869.65,SI,NO
AMPA MIRAFLORES,FIESTA FIN DE CURSO,844,SI,NO
AMPA MIRAFLORES,REVISTA DE BIENVENIDA,72,NO,NO
AMPA MIRAFLORES,FIESTA DE NAVIDAD,850.88,SI,NO
AMPA PARQUE CATALUÑA,CONCURSO DE TARJETAS NAVIDEÑAS,249.44,NO,NO
AMPA PARQUE CATALUÑA,FUTBOL,296,NO,NO
AMPA PARQUE CATALUÑA,GRADUACIÓN,160,NO,NO
AMPA PARQUE CATALUÑA,FIESTA FIN DE CURSO,1096,SI,NO
AMPA PARQUE CATALUÑA,PARTICIPACIÓN FAPA,64,NO,NO
AMPA PARQUE CATALUÑA,NAVIDAD,419.56,SI,NO
AMPA PROFESOR TIERNO GALVÁN,GRADUACION 6º PRIM,181.05,NO,NO
AMPA PROFESOR TIERNO GALVÁN,FIESTA FIN DE CURSO,344.76,SI,NO
AMPA PROFESOR TIERNO GALVÁN,FAPA,64,NO,NO
AMPA PROFESOR TIERNO GALVÁN,CARNAVAL EN LA AULAS,360,SI,NO
AMPA PROFESOR TIERNO GALVÁN,DIA DEL LIBRO,160,NO,NO
AMPA PROFESOR TIERNO GALVÁN,DIA SAN ISIDRO,120,NO,NO
AMPA PROFESOR TIERNO GALVÁN,DIA DE LA CASTAÑA,40,NO,NO
AMPA PROFESOR TIERNO GALVÁN,CONCURSO DE CHRISTMAS,200,NO,NO
AMPA PROFESOR TIERNO GALVÁN,FIESTA DE NAVIDAD,200,NO,NO
AMPA SEIS DE DICIEMBRE,EXCURSION A MI BURRO,400.36,SI,NO
AMPA SEIS DE DICIEMBRE,NAVIDAD,296,NO,NO
AMPA SEIS DE DICIEMBRE,CUENTACUENTOS AMBIENTALES,280,NO,NO
AMPA SEIS DE DICIEMBRE,TALLER EDUCACION FISICA Y DEPORTES,152,NO,NO
AMPA SEIS DE DICIEMBRE,FIN DE CURSO,240,NO,NO
AMPA SEIS DE DICIEMBRE,FESTIVAL FIN DE CURSO,200,NO,NO
AMPA SEIS DE DICIEMBRE,AGENDA ESCOLAR,1200,SI,NO
AMPA VALDEPALITOS,VISITA TEATRALIZADA A SEPULVEDA,373.03,SI,NO
AMPA VALDEPALITOS,SALIDAS CULTURALES EN FAMILIA,430,SI,NO
AMPA VALDEPALITOS,TALLER TECNICAS DE ESTUDIO,608,SI,NO
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR FUTBOL SALA,240,NO,NO
AMPA VALDEPALITOS,FIESTA FIN DE CURSO,640,SI,NO
AMPA VALDEPALITOS,FESTIVAL DANZA Y TEATRO FIN DE CURSO,264,NO,NO
AMPA VALDEPALITOS,CEREMONIA GRADUACION 6º PRIMARIA,104,NO,NO
AMPA VALDEPALITOS,ORLA PARA 6º PRIMARIA,96,NO,NO
AMPA VALDEPALITOS,BOLETIN APA,328,SI,NO
AMPA VALDEPALITOS,PARTICIPACION FAPA ALCOBENDAS,64,NO,NO
AMPA VALDEPALITOS,PARTICIPACION FESTIVAL FAPA,80,NO,NO
AMPA VALDEPALITOS,PARTICIPACION FAPA GINER DE LOS RIOS,152,NO,NO
AMPA VALDEPALITOS,FIESTA DE NAVIDAD,200,NO,NO
AMPA VALDEPALITOS,TORNEO MULTIDEPORTE,120,NO,NO
AMPA VALDEPALITOS,SEMANA CULTURAL,80,NO,NO
AMPA LA CHOPERA,SEMANA DEL LIBRO,1396.21,SI,NO
AMPA LA CHOPERA,FIESTA GRADUACION,248,NO,NO
AMPA LA CHOPERA,PARTICIPACION FAPA ALCOBENDAS,64,NO,NO
AMPA LA CHOPERA,FIESTA SAN ISIDRO,104,NO,NO
AMPA EL CUQUILLO,SEMANA DEL LIBRO,526.15,SI,NO
AMPA EL CUQUILLO,DIA DE LA INFANCIA,60,NO,NO
AMPA EL CUQUILLO,FIESTA FIN DE CURSO,280,NO,NO
AMPA EL CUQUILLO,FIESTA NAVIDAD,360,SI,NO
AMPA EL CUQUILLO,VERBENA SAN ISIDRO,180,NO,NO
AMPA VALDELAPARRA,SEMANA DEL LIBRO Y FERIA DEL LIBRO,689.51,SI,NO
AMPA VALDELAPARRA,EL HUERTO,73,NO,NO
AMPA VALDELAPARRA,FIESTA GRADUACION,668,SI,NO
AMPA VALDELAPARRA,FERIA ASOCIACIONES,87,NO,NO
AMPA VALDELAPARRA,CARNAVAL 2015,98,NO,NO
AMPA VALDELAPARRA,SAN ISIDRO,205,NO,NO
AMPA VALDELAPARRA,QUERIDOS REYES MAGOS,596.31,SI,NO
AMPA RIVENDEL,SEMANA CULTURAL Y DIA DEL LIBRO,641.51,SI,NO
AMPA RIVENDEL,VISITA GRANJA ESCUELA,410,SI,NO
AMPA RIVENDEL,DIA DE LA PAZ,186,NO,NO
AMPA RIVENDEL,DIA DE LA INFANCIA,200,NO,NO
AMPA RIVENDEL,FIESTA FIN DE CURSO,704,SI,NO
AMPA RIVENDEL,PERTENENCIA A LA FAPA,64,NO,NO
AMPA RIVENDEL,CARNAVAL,131.31,NO,NO
AMPA RIVENDEL,FIESTA DE NAVIDAD,80,NO,NO
AMPA AGORA,"PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVICENCIA",528.94,SI,NO
AMPA AGORA,ANIMACION A LA LECTURA,560,SI,NO
AMPA AGORA,SALIDA AL TEATRO,240,NO,NO
AMPA AGORA,EXCURSION CULTURAL,120,NO,NO
AMPA AGORA,CONCURSO FOTOGRAFICO CONSTITUCION,280,NO,NO
AMPA AGORA,ACTO DE GRADUACIÓN,240,NO,NO
AMPA AGORA,INTERCAMBIO DE LIBROS DE TEXTO,80,NO,NO
AMPA AGORA,JORNADA DE CONVIVENCIA,280,NO,NO
AMPA ALDEBARAN,"PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVIVENCIA",1000,SI,NO
AMPA ALDEBARAN,ANIMACION A LA LECTURA,280,NO,NO
AMPA ALDEBARAN,PRACTICANDO IDIOMAS,259.48,NO,NO
AMPA ALDEBARAN,CONCURSO DE TARJETAS NAVIDEÑAS,160,NO,NO
AMPA ALDEBARAN,GRADUACION ALUMNOS BACHILLER,200,NO,NO
AMPA ALDEBARAN,BOLETIN INFORMATIVO,504,SI,NO
AMPA ALDEBARAN,PARTICIPACION EN FAPAS,220,NO,NO
AMPA ALDEBARAN,TORNEO DEPORTIVO ANUAL ,57,NO,NO
AMPA GINER DE LOS RIOS,CERTAMEN TARJETA NAVIDAD,823.55,SI,NO
AMPA GINER DE LOS RIOS,CERTAMEN DE RELATO Y POESIA,390,SI,NO
AMPA GINER DE LOS RIOS,BIBLIOTECA LIBROS LECTURA INGLES,290,NO,NO
AMPA GINER DE LOS RIOS,TALLER PERCUSION,320,SI,NO
AMPA GINER DE LOS RIOS,CERTAMEN ENSAYO FILOSOFICO RAQUEL PUSZKIN,140,NO,NO
AMPA GINER DE LOS RIOS,CERTAMEN RELATOS ALEMAN,130,NO,NO
AMPA GINER DE LOS RIOS,CERTAMEN POETICO EN LENGUA INGLESA,100,NO,NO
AMPA GINER DE LOS RIOS,CEREMONIA GRADUACION BACHILLERATO,290,NO,NO
AMPA GINER DE LOS RIOS,LIBRO DE RELATO Y POESIAS,390,SI,NO
AMPA GINER DE LOS RIOS,PARTICIPACION FAPA ALCOBENDAS Y FAPA MADRID,270,NO,NO
AMPA GINER DE LOS RIOS,BOLETIN ANUAL ATIVIDADES AMPA,240,NO,NO
AMPA SEVERO OCHOA,TALLER DE MOTIVACION Y AUTOESTIMA,309.61,SI,NO
AMPA SEVERO OCHOA,TALLER DE TECNICAS DE ESTUDIO,140,NO,NO
AMPA SEVERO OCHOA,EXPOSICION Y EDICION ALBUM EEUU,609,SI,NO
AMPA SEVERO OCHOA,INTERCAMBIO FRANCIA Y EXPOSICION,60,NO,NO
AMPA SEVERO OCHOA,OCIO EN FAMILIA,876,SI,NO
AMPA SEVERO OCHOA,GRADUACION CICLOS Y BACHILLERATOS,376,SI,NO
AMPA SEVERO OCHOA,CAPTACION NUEVOS SOCIOS Y DIFUSION DEL PROYECTO,912,SI,NO
AMPA SEVERO OCHOA,TORNEO DE AJEDREZ,57,NO,NO
AMPA VIRGEN DE LA PAZ,JORNADA LUDICO EDUCATIVA FIN DE CURSO,942.92,SI,NO
AMPA VIRGEN DE LA PAZ,JORNADA 30 ANIVERSARIO + ACTO GRADUACION,209,NO,NO
AMPA VIRGEN DE LA PAZ,DIFUSION E INFORMACION 30 ANIVERSARIO,232,NO,NO
AMPA VIRGEN DE LA PAZ,RECRE-JORNADAS DEPORTIVAS,198,NO,NO
AMPA GREENWICH SCHOOL,CONCURSO VIRGEN DE LA PAZ,175.55,NO,NO
AMPA GREENWICH SCHOOL,EXCURSION ATAPUERCA,1518,SI,NO
AMPA GREENWICH SCHOOL,CONCURSO DE NAVIDAD,350,SI,NO
AMPA GREENWICH SCHOOL,TEATRO EN FAMILIA,170.95,NO,NO
AMPA GREENWICH SCHOOL,VISITA AL TEATRO REAL,165,NO,NO
AMPA SAN ANTONIO,ZOO AQUARIUM DE MADRID,1000,SI,NO
AMPA SAN ANTONIO,VISITA A LA CAÑADA REAL,897.4,SI,NO
AMPA SAN ANTONIO,FIESTA FIN DE CURSO,80,NO,NO
AMPA PADRE MANYANET,FERIA DE LA SEMANA CULTURAL,800,SI,NO
AMPA PADRE MANYANET,FERIA ROBOTICA,720,SI,NO
AMPA PADRE MANYANET,BIBLIOTECA INGLES ESO,808.94,SI,NO
AMPA FAPA,JORNADA FAPA-AMPAS: ENCUENTROS DE PARTICIPACION,760,SI,NO
AMPA FAPA,"REVISTA DE LA FEDERACION ""LA ESCUELA EN ALCOBENDAS""",1040,SI,NO
AMPA FAPA,"CONCURSO FOTOGRAFIA ""TE VEO LEER…EN ALCOBENDAS""",800,SI,NO
AMPA FAPA,EXPOSICION FOTOGRAFICA TRABAJOS CONCURSO,344.13,SI,NO
